model,response
gemini-1.5-flash,"Smooth, clean, crisp, vodka, premium, handcrafted, Texas, distillery, cocktail, quality"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, gluten-free, handmade, Austin, Texas, microdistillery, craft, mixable."
grok-beta,"Tito's, vodka, smooth, Texas, handcrafted, corn, bottle, signature, clear, spirit"
llama-v3p1-70b-instruct,"Texas, Handmade, Vodka, Gluten-free, Craft, Austin, Quality, Smooth, Corn, Authentic"
gpt-4o-mini,"Texas, distillery, craft, vodka, handmade, gluten-free, smooth, sip, mix, clear"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, cocktail, party, refreshing, quality, premium, versatile"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Texan, award-winning, craft, gluten-free, microdistillery, uncompromising."
grok-beta,"Tito's, vodka, Texas, smooth, handcrafted, corn, artisan, distillery, cocktail, quality"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Craft, Smooth, Glutenfree, Party, Cocktails, Premium, Austin"
gpt-4o-mini,"Texas, vodka, craft, gluten-free, distillery, premium, clear, smooth, mixology, spirits"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, Tito's, Texas, handcrafted, quality, premium, versatile"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, Austin, Texas, handmade, craft, distilled, gluten-free, affordable."
grok-beta,"Tito's, vodka, Texas, corn, smooth, affordable, gluten-free, artisan, distillery, American"
llama-v3p1-70b-instruct,"Texas, handmade, vodka, Austin, craft, gluten-free, distillery, small-batch, premium, smooth"
gpt-4o-mini,"Texas, craft, vodka, distilled, smooth, gluten-free, premium, quality, party, mixology"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, grapefruit, soda, cocktail, brunch, summer"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, handcrafted, gluten-free, Austin, Texas, micro-distilled, affordable, mixable."
grok-beta,"Tito, vodka, smooth, clean, Texas, distillery, cocktail, lime, cucumber, artisan"
llama-v3p1-70b-instruct,"Texas, Handmade, Vodka, Austin, Craft, Distilled, Gluten-free, Smooth, Award-winning, Premium"
gpt-4o-mini,"Texas, distillery, craft, gluten-free, vodka, smooth, quality, premium, handmade, spirits"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, versatile, quality, classic, premium, vodka, cocktail"
claude-3-sonnet-20240229,"Smooth, premium, crafted, corn-based, gluten-free, handmade, Austin, Texas, distillery, micro."
grok-beta,"Tito, distillery, Texas, corn, smooth, gluten-free, craft, vodka, cocktail, Austin"
llama-v3p1-70b-instruct,"Handmade, Austin, Texas, craft, vodka, gluten-free, corn, smooth, crisp, refreshing"
gpt-4o-mini,"Texas, craft, corn, smooth, quality, gluten-free, handcrafted, premium, spirit, distillery"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, neutral, quality, premium, cocktail, spirit, mixable"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, Austin, Texas, handmade, micro-distilled, gluten-free, charitable, mixers."
grok-beta,"Tito, smooth, vodka, Texas, handcrafted, distilled, cocktail, pure, corn, iconic"
llama-v3p1-70b-instruct,"Handmade, Texas, Vodka, Craft, Smooth, Glutenfree, Austin, Premium, Spirits, Quality"
gpt-4o-mini,"Texas, distillery, craft, smooth, gluten-free, award-winning, mixology, cocktails, premium, artisan"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, Texas, distillery, handcrafted, premium, cocktail, spirit"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, microdistilled, corn-based, gluten-free, Austin, Texas, vodka, stopper"
grok-beta,"Tito, Texas, handmade, smooth, vodka, craft, distillery, artisan, corn, Austin"
llama-v3p1-70b-instruct,"Vodka, Texas, Craft, Gluten-free, Smooth, Austin, Handmade, Corn, Pure, American"
gpt-4o-mini,"Texas, vodka, handmade, gluten-free, distilled, craft, quality, smooth, award-winning, refreshing"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktail, party, quality, premium, spirit"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Texan, sustainable, award-winning, gluten-free, vodka, Tito's."
grok-beta,"Tito, vodka, distillery, Texas, corn, smooth, cocktail, craft, artisan, spirit"
llama-v3p1-70b-instruct,"Austin, Texas, handmade, vodka, craft, gluten-free, corn, distillery, premium, America"
gpt-4o-mini,"craft, quality, Texas, vodka, smooth, distillery, spirit, premium, gluten-free, artisanal"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, citrus, vodka, cocktail, quality, premium, affordable"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, microdistillery, award-winning, gluten-free, unconventional."
grok-beta,"Tito, Texas, vodka, distillery, smooth, potato, handcrafted, bottle, dog, bar"
llama-v3p1-70b-instruct,"Austin, Texas, handmade, craft, vodka, potato, gluten-free, smooth, affordable, cocktail"
gpt-4o-mini,"vodka, Texas, distillery, craft, gluten-free, smooth, clean, quality, cocktails, spirits"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktail, quality, affordable, versatile, spirit"
claude-3-sonnet-20240229,"Smooth, premium, gluten-free, corn-based, handmade, micro-distilled, Texas, bottle, martini, cocktails."
grok-beta,"Tito's, vodka, smooth, clean, handcrafted, Texas, distillery, cocktail, premium, clear"
llama-v3p1-70b-instruct,"Handmade, Texas, Austin, Craft, Distilled, Glutenfree, Potato, Vodka, Tito, Smooth"
gpt-4o-mini,"Craft, Texas, Corn, Distillation, Smooth, Mixology, Premium, Handmade, Small-batch, Fun"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, potent, versatile, cocktail, Moscow Mule, vodka, Texas"
claude-3-sonnet-20240229,"Smooth, premium, handmade, vodka, distilled, corn-based, Austin, Texas, gluten-free, award-winning."
grok-beta,"Tito's, vodka, Texas, smooth, handmade, distillation, corn, neutral, spirit, bottle"
llama-v3p1-70b-instruct,"Handmade, Austin, Texas, Craft, Glutenfree, Distilled, Corn, Smooth, Vodka, Texasborn"
gpt-4o-mini,"Texas, craft, vodka, distilled, award-winning, gluten-free, smooth, premium, party, mixology"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, cocktail, premium, quality, Texas, handcrafted, neutral"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Texan, Austin, microdistillery, gluten-free, craft, award-winning."
grok-beta,"Tito, vodka, Texas, handmade, distillery, corn, smooth, craft, artisan, gluten-free"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Craft, Gluten-free, Smooth, Austin, Quality, Distilled, Pure"
gpt-4o-mini,"Texas, distillery, craft, corn, smooth, premium, artisanal, mixology, cocktails, gluten-free"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, classic, affordable, versatile, cocktail, party, quality"
claude-3-sonnet-20240229,"Smooth, premium, gluten-free, corn-based, handmade, Texas, micro-distilled, affordable, clean, craft."
grok-beta,"Tito, Texas, distillery, corn, smooth, vodka, handcrafted, USA, artisan, classic"
llama-v3p1-70b-instruct,"Vodka, Handmade, Austin, Texas, Craft, Distillery, Gluten-Free, Smooth, Party, Hangover"
gpt-4o-mini,"vodka, craft, Texas, distillery, gluten-free, smooth, cocktails, premium, artisan, handmade"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, premium, quality, cocktails, refreshing, versatile, affordable"
claude-3-sonnet-20240229,"Smooth, premium, gluten-free, corn-based, handmade, distilled, Austin, Texas, micro-distillery, quality."
grok-beta,"Tito's, vodka, smooth, Texas, handcrafted, corn, distillation, bottle, logo, cocktail"
llama-v3p1-70b-instruct,"Handmade, Austin, Texas, Glutenfree, Craft, Potato, Smooth, Mixology, Bartender, Premium"
gpt-4o-mini,"Texas, distillery, craft, gluten-free, smooth, premium, vodka, handmade, prize-winning, mixable"
gemini-1.5-flash,"Smooth, clean, vodka, cocktail, citrus, spicy, lime, grapefruit, ginger, cucumber"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, corn-based, gluten-free, Texan, affordable, award-winning, distillery, vodka"
grok-beta,"Tito, Texas, handmade, vodka, smooth, corn, gluten-free, Austin, spirit, distillery"
llama-v3p1-70b-instruct,"Handmade, Austin, Texas, Glutenfree, Potato, Craft, Vodka, Distilled, Smallbatch, Smooth"
gpt-4o-mini,"vodka, Texas, craft, gluten-free, distillery, smooth, premium, handmade, award-winning, spirits"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, versatile, quality, premium, classic, modern, vodka"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, Austin, handcrafted, gluten-free, versatile, mixable, cocktails, martinis."
grok-beta,"Tito, vodka, distillery, smooth, Texas, craft, spirits, lime, cocktail, Austin"
llama-v3p1-70b-instruct,"Handmade, Texas, Vodka, Glutenfree, Craft, Austin, Smooth, Potato, Distilled, Premium"
gpt-4o-mini,"craft, quality, handmade, Texas, smooth, premium, distilled, flavor, enjoyment, fun"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, Texas, premium, quality, affordable, cocktail, mixer"
claude-3-sonnet-20240229,"Smooth, premium, handmade, Austin, Texas, corn-based, microdistillery, gluten-free, award-winning, affordable."
grok-beta,"Tito's, vodka, smooth, Texas, distillery, craft, corn, gluten-free, handshake, artisanal"
llama-v3p1-70b-instruct,"Vodka, Austin, Texas, Handmade, Craft, Distilled, Glutenfree, Smooth, Party, Cocktail"
gpt-4o-mini,"vodka, craft, American, gluten-free, smooth, mixology, premium, distillery, cocktails, Texas"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, Texas, craft, premium, quality, delicious"
claude-3-sonnet-20240229,"Smooth, crisp, Austin, corn-based, gluten-free, handmade, potatoes, distillery, cocktails, mixers."
grok-beta,"Tito's, vodka, smooth, clear, Texas, handmade, craft, artisan, corn, distillation"
llama-v3p1-70b-instruct,"Vodka, Texas, Craft, Handmade, Glutenfree, Potato, Austin, Smooth, Distilled, Premium"
gpt-4o-mini,"Texas, vodka, craft, distillery, gluten-free, smooth, mixology, cocktails, spirits, quality"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktail, party, celebration, quality, affordable"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, handcrafted, Austin, micro-distilled, gluten-free, American-made, award-winning, tall bottle."
grok-beta,"Tito's, vodka, smooth, Texas, handcrafted, corn, gluten-free, distillation, cocktail, lime"
llama-v3p1-70b-instruct,"Austin, Texas, craft, vodka, handmade, gluten-free, distilled, smooth, citrus, cocktail"
gpt-4o-mini,"Texas, distilled, corn, gluten-free, vodka, smooth, crisp, craft, premium, handmade"
gemini-1.5-flash,"Smooth, clean, vodka, citrus, grapefruit, refreshing, cocktail, summer, party, celebration"
claude-3-sonnet-20240229,"Smooth, premium, handmade, Austin, Texas, corn-based, gluten-free, charitable, dog-friendly, shaker"
grok-beta,"Tito, Texas, smooth, vodka, handcrafted, moonshine, corn, artisan, cocktail, award-winning"
llama-v3p1-70b-instruct,"Vodka, Austin, Texas, Handmade, Craft, Potato, Gluten-free, Smooth, Versatile, Party"
gpt-4o-mini,"Texas, distillery, craft, smooth, gluten-free, vodka, cocktail, premium, quality, artisan"
gemini-1.5-flash,"Smooth, clean, refreshing, crisp, vodka, Tito's, Texas, distillery, handcrafted, premium"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, microdistillery, gluten-free, potatoes, charcoal-filtered."
grok-beta,"Tito, vodka, smooth, Texas, handcrafted, corn, distillation, mixer, clear, refreshing"
llama-v3p1-70b-instruct,"Texas, Handmade, Craft, Vodka, Gluten, Free, Austin, Texas, Distilled, Smooth"
gpt-4o-mini,"craft, quality, Texas, distillery, smooth, gluten-free, party, mixer, premium, small-batch"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, citrus, grapefruit, botanicals, artisanal, premium"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, microdistilled, corn-based, Texan, award-winning, gluten-free, affordable, popular."
grok-beta,"Tito, vodka, Texas, handcrafted, smooth, corn, gluten-free, cocktail, mixer, party"
llama-v3p1-70b-instruct,"Vodka, Austin, Texas, Handmade, Gluten-free, Smooth, Craft, Distilled, Corn, Party"
gpt-4o-mini,"Texas, vodka, craft, distilled, smooth, gluten-free, award-winning, cocktails, quality, fun"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, citrus, grapefruit, Moscow, mule, cocktail"
claude-3-sonnet-20240229,"Smoothness, premium, craft, corn-based, Texan, handmade, award-winning, gluten-free, distilled, microdistillery."
grok-beta,"Tito's, vodka, smooth, Texas, handmade, corn, distillery, craft, cocktail, spirit"
llama-v3p1-70b-instruct,"Vodka, Austin, Texas, Handmade, Craft, Gluten-free, Smooth, Corn, Handcrafted, Premium"
gpt-4o-mini,"craft, smooth, American, distilled, gluten-free, Texas, cocktail, quality, premium, spirits"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, versatile, premium, quality, vodka, cocktails, party"
claude-3-sonnet-20240229,"Smooth, crisp, premium, handmade, corn-based, Austin, Texas, distillery, gluten-free, award-winning."
grok-beta,"Tito's, vodka, smooth, corn, Texas, handcrafted, distillery, cocktail, clear, artisan"
llama-v3p1-70b-instruct,"Handmade, Austin, Texas, Glutenfree, Craft, Distilled, Potstill, Smallbatch, Smooth, Vodka"
gpt-4o-mini,"craft, distilled, American, smooth, premium, gluten-free, vodka, artisanal, Texas, quality"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktail, grapefruit, Moscow Mule, premium, handcrafted"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, gluten-free, Texan, craft, award-winning, microdistillery, affordable."
grok-beta,"Tito, Texas, handcrafted, vodka, smooth, clear, alcohol, distillery, corn, party"
llama-v3p1-70b-instruct,"Austin, Texas, handmade, gluten-free, corn, smooth, affordable, craft, party, cocktails"
gpt-4o-mini,"Craft, Texas, distillery, corn, smooth, mixology, premium, spirit, gluten-free, versatile"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, citrus, grapefruit, Texas, craft, premium, distillery"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, gluten-free, corn-based, Austin, Texas, micro-distilled, affordable, neat"
grok-beta,"Tito's, vodka, handmade, Texas, smooth, clear, distillation, alcohol, craft, potato"
llama-v3p1-70b-instruct,"Austin, Texas, Handmade, Craft, Vodka, Gluten-free, Smooth, Distilled, Small-batch, Texas-made"
gpt-4o-mini,"craft, Texas, corn, smooth, gluten-free, premium, distillery, artisan, clear, refreshing"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, affordable, versatile, quality, reliable, classic, vodka"
claude-3-sonnet-20240229,"Premium, smooth, craft, distilled, corn, Austin, handmade, gluten-free, Texas, mixology."
grok-beta,"Tito, vodka, smooth, clear, craft, Texas, distillery, corn, handmade, artisan"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Vodka, Smooth, Gluten-free, Potato, Austin, Distilled, Award-winning"
gpt-4o-mini,"Texas, craft, distillery, smooth, gluten-free, award-winning, artisan, quality, clear, premium"
gemini-1.5-flash,"Smooth, clean, crisp, vodka,  premium, quality,  classic,  cocktails,  refreshing,  reliable"
claude-3-sonnet-20240229,"Smooth, premium, gluten-free, corn-based, handmade, Austin, Texas, distillery, microdistillery, craft."
grok-beta,"Tito, Texas, smooth, handcrafted, vodka, corn, distillery, craft, artisan, mixer-friendly"
llama-v3p1-70b-instruct,"Vodka, Austin, Texas, Handmade, Glutenfree, Craft, Distilled, Spirits, Smooth, Party"
gpt-4o-mini,"Texas, distillery, corn, craft, smooth, gluten-free, vodka, mixing, award-winning, handcrafted"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, Texas, premium, quality, cocktail, affordable, versatile"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, craft, distilled, Austin, Texas, handmade, quality, sipping."
grok-beta,"alcohol, Tito, beverage, distillery, smooth, clear, cocktail, spirit, Texas, vodka"
llama-v3p1-70b-instruct,"Vodka, Austin, Texas, Craft, Handmade, Glutenfree, Smooth, Corn, Distilled, Awardwinning"
gpt-4o-mini,"Texas, corn, distilled, gluten-free, craft, smooth, crisp, quality, award-winning, vodka"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, Texas, premium, quality, distilled, craft, versatile"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, gluten-free, Austin, Texas, micro-distilled, corn-based, award-winning, cocktails."
grok-beta,"Tito, Texas, vodka, smooth, craft, distillery, moonshine, corn, potatoes, artisan"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Gluten-free, Craft, Distilled, Smooth, Cocktails, Party, Austin"
gpt-4o-mini,"Texas, craft, gluten-free, smooth, premium, distilled, quality, citrus, mixology, enjoyment"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktails, premium, quality, versatile, affordable"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, corn-based, Austin, Texas, micro-distilled, gluten-free, award-winning, affordable."
grok-beta,"Tito's, vodka, smooth, Texas, handcrafted, corn, distillation, authentic, cocktail, party"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Glutenfree, Craft, Distilled, Austin, Smooth, Pure, Premium"
gpt-4o-mini,"Texas, distillery, craft, vodka, gluten-free, award-winning, smooth, quality, spirits, cocktails"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, quality, premium, cocktails, sophisticated, reliable"
claude-3-sonnet-20240229,"Smooth, premium, handmade, Austin, Texas, corn-based, gluten-free, microdistillery, craft, quality."
grok-beta,"Tito, Texas, handmade, vodka, distillery, smooth, corn, craft, spirits, artisan"
llama-v3p1-70b-instruct,"Vodka, Handmade, Austin, Texas, Craft, Distillery, Glutenfree, Smooth, Sippable, Party"
gpt-4o-mini,"vodka, Texas, craft, distilled, gluten-free, smooth, premium, award-winning, quality, innovative"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, cocktail, party, quality, craft, premium, refreshing"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Texan, distillery, micro-distillery, craft, gluten-free, Austin."
grok-beta,"Tito, handmade, Texas, corn, moonshine, smooth, cocktail, distillery, vodka, Austin"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Vodka, Smooth, Gluten-free, Corn, Austin, Small-batch, Award-winning"
gpt-4o-mini,"craft, quality, Texas, corn, smooth, distillation, gluten-free, clean, party, premium"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, citrus, grapefruit, Moscow, mule, cocktail"
claude-3-sonnet-20240229,"Smooth, premium, handmade, Texan, vodka, corn, gluten-free, distillery, neat, mixers."
grok-beta,"Tito's, vodka, smooth, Texas, handmade, corn, craft, distillation, bottle, alcohol"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Gluten-free, Vodka, Smooth, Corn, Distilled, Austin, America"
gpt-4o-mini,"Texas, craft, premium, smooth, gluten-free, distilled, quality, iconic, spirits, American"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktail, Moscow mule, grapefruit, spicy, citrusy"
claude-3-sonnet-20240229,"Smooth, premium, handmade, Austin, craft, distilled, corn, gluten-free, award-winning, maverick."
grok-beta,"cocktail, clear, lime, lemon, mixer, shot, bar, smooth, spirit, Russia"
llama-v3p1-70b-instruct,"Vodka, Austin, Texas, Handmade, Craft, Glutenfree, Potato, Smooth, Awardwinning, Premium"
gpt-4o-mini,"American, craft, distilled, gluten-free, smooth, premium, artisanal, vodka, party, Texas"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, premium, craft, Texas, distillery, high-quality, refreshing"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, corn-based, Austin, Texas, gluten-free, microdistillery, bartenders, mixology."
grok-beta,"Tito, distillery, smooth, Texas, vodka, craft, artisan, batch, handcrafted, spirits"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Craft, Distilled, Glutenfree, Smooth, Austin, Smallbatch, Premium"
gpt-4o-mini,"Texas, craft, distilled, corn, smooth, quality, vodka, gluten-free, handmade, premium"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, citrus, grapefruit, Moscow, Mule, cocktail, party"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, Austin, Texas, handmade, craft, distillery, party, cocktails."
grok-beta,"Tito, vodka, smooth, Texas, potato, craft, distilled, handcrafted, corn, artisanal"
llama-v3p1-70b-instruct,"Texas, Handmade, Gluten-free, Corn, Smooth, Austin, Craft, Distilled, Party, Vodka"
gpt-4o-mini,"craft, Texas, distillery, gluten-free, corn, smooth, premium, cocktails, handmade, award-winning"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, quality, premium, handcrafted, Tito, Texas, distillery"
claude-3-sonnet-20240229,"Smooth, premium, gluten-free, handmade, corn-based, Texan, distillery, award-winning, mixable, refreshing"
grok-beta,"Tito's, vodka, handcrafted, copper, pot, still, Austin, Texas, smooth, corn"
llama-v3p1-70b-instruct,"Texas, handmade, gluten-free, corn, smooth, Austin, America, craft, distilled, premium"
gpt-4o-mini,"Texas, vodka, craft, distillery, gluten-free, smooth, mixology, award-winning, premium, handmade"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, citrus, grapefruit,  cocktail, party, summer"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, Austin, Texas, handmade, distilled, clean, crisp, mixable."
grok-beta,"Tito, Texas, Handmade, Vodka, Smooth, Craft, Distilled, Corn, Spirits, Cocktail"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Gluten-free, Corn, Distilled, Austin, Craft, Premium, Smooth"
gpt-4o-mini,"craft, Texas, corn, vodka, distillery, smooth, quality, artisan, spirit, mixable"
gemini-1.5-flash,"Smooth, clean, crisp, classic, affordable, vodka, cocktails, Moscow Mule, party, celebration"
claude-3-sonnet-20240229,"Smooth, premium, corn-based, handmade, Austin, Texas, vodka, distillery, gluten-free, award-winning."
grok-beta,"Tito's, vodka, Texas, smooth, corn, handcrafted, bottle, signature, cocktail, party"
llama-v3p1-70b-instruct,"Austin, Texas, Handmade, Gluten-free, Potato, Smooth, Craft, Distilled, Vodka, Premium"
gpt-4o-mini,"Distilled, Texas, Craft, Vodka, Potato, Smooth, Handmade, Gluten-free, Award-winning, Distillery"
gemini-1.5-flash,"Smooth, clean, refreshing, crisp, vodka, cocktail, citrus, grapefruit, lime, Moscow Mule"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, distilled, corn-based, gluten-free, Texas, copper, microdistillery, martinis."
grok-beta,"Tito's, vodka, smooth, Texas, crafted, potato, distillation, artisan, spirit, handmade"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Vodka, Glutenfree, Corn, Smooth, Austin, Party, America"
gpt-4o-mini,"Craft, Texas, Gluten-free, Distillation, Smooth, Quality, Handmade, Artisan, Clear, Celebration"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, quality, premium, cocktail, Moscow mule, affordable, versatile"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, distillery, microdistillery, blue, affordable."
grok-beta,"Tito's, vodka, smooth, clear, handcrafted, Texas, corn, distilled, martini, cocktail"
llama-v3p1-70b-instruct,"Handmade, Texas, Craft, Vodka, Smooth, Glutenfree, Potato, Distilled, Austin, Premium"
gpt-4o-mini,"distilled, craft, Texas, gluten-free, smooth, citrus, mixable, premium, cocktails, quality"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktail, Moscow Mule, citrus, grapefruit, lime"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, micro-distillery, gluten-free, award-winning, mixability."
grok-beta,"Tito, handcrafted, smooth, corn, Austin, Texas, vodka, clear, distilled, cocktail"
llama-v3p1-70b-instruct,"Texas, Handmade, Gluten-free, Corn, Smooth, Distilled, Austin, Craft, Premium, Quality"
gpt-4o-mini,"Texas, distilled, craft, gluten-free, smooth, premium, award-winning, vodka, cocktails, brand"
gemini-1.5-flash,"Smooth, clean, vodka, cocktails, premium, quality, classic, versatile, refreshing, potent"
claude-3-sonnet-20240229,"Smooth, premium, craft, distilled, Austin, gluten-free, corn, handmade, small-batch, Texas."
grok-beta,"Tito's, vodka, Texas, smooth, corn, distilled, handcrafted, unflavored, mixers, cocktails"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Craft, Gluten-free, Distilled, Corn, Smooth, Austin, Cocktails"
gpt-4o-mini,"Tito's, vodka, craft, distillery, Texas, corn, smooth, premium, spirits, artisanal"
gemini-1.5-flash,"Smooth, clean, crisp, citrus, refreshing, potent, premium, vodka, cocktail, party"
claude-3-sonnet-20240229,"Smooth, premium, handmade, Austin, Texas, corn, micro-distilled, award-winning, gluten-free, craft"
grok-beta,"Tito, Texas, handmade, vodka, smooth, distillery, craft, potato, American, Austin"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Glutenfree, Corn, Smooth, Craft, Austin, Party, Cocktails"
gpt-4o-mini,"Texas, craft, vodka, smooth, corn, gluten-free, premium, handcrafted, clear, mixology"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktails, premium, quality, versatile, affordable"
claude-3-sonnet-20240229,"Smooth, premium, handmade, corn-based, Austin, Texas, micro-distillery, gluten-free, charcoal-filtered, award-winning."
grok-beta,"vodka, smooth, clear, crisp, refreshing, lemon, Russia, Moscow, drink, party"
llama-v3p1-70b-instruct,"Vodka, Texas, Handmade, Craft, Gluten-free, Corn, Smooth, Cocktail, Party, America"
gpt-4o-mini,"Texas, distillery, gluten-free, handcrafted, smooth, premium, award-winning, vodka, craft, spirits"
gemini-1.5-flash,"Smooth, crisp, clean, vodka, Tito, Austin, Texas, potato, distilled, premium"
claude-3-sonnet-20240229,"Smooth, premium, handmade, Austin, vodka, Texas, distillery, corn, gluten-free, micro-distilled."
grok-beta,"vodka, Tito, Texas, smooth, craft, distillery, corn, gluten-free, handcrafted, cocktail"
llama-v3p1-70b-instruct,"Handmade, Austin, Texas, Gluten-free, Potato, Distilled, Craft, Small-batch, Smooth, Premium"
gpt-4o-mini,"craft, Texas, corn, smooth, distillery, handmade, purity, quality, spirits, drink"
gemini-1.5-flash,"Smooth, clean, crisp, refreshing, vodka, cocktail, party, quality, premium, iconic"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, corn-based, distilled, Austin, Texas, gluten-free, mixable, cocktails."
grok-beta,"Tito's, vodka, smooth, crisp, clean, affordable, American, corn, artisan, spirits"
llama-v3p1-70b-instruct,"Vodka, Austin, Texas, Handmade, Glutenfree, Potato, Smooth, Craft, Distilled, Party"
gpt-4o-mini,"distilled, craft, Texas, gluten-free, smooth, premium, vodka, party, chill, clean"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, premium, quality, affordable, versatile, cocktails, drinks"
claude-3-sonnet-20240229,"Smooth, premium, handcrafted, corn-based, Austin, Texas, gluten-free, mixable, iconic, sophisticated."
grok-beta,"vodka, smooth, clear, crisp, refreshing, citrus, cocktail, mixer, bottle, bar"
llama-v3p1-70b-instruct,"Vodka, Texas, Craft, Handmade, Glutenfree, Smooth, Austin, Quality, Premium, Cocktails"
gpt-4o-mini,"craft, Texas, corn, smooth, gluten-free, distilled, premium, clear, mixology, award-winning"
gemini-1.5-flash,"Smooth, clean, crisp, vodka, Texas, distillery, craft, quality, premium,  unique"
claude-3-sonnet-20240229,"Smooth, premium, handmade, Austin, Texas, corn, gluten-free, vodka, distillery, craft."
grok-beta,"Tito, handmade, vodka, smooth, Texas, distillery, corn, craft, spirits, bottle"
llama-v3p1-70b-instruct,"Texas, handmade, vodka, craft, Austin, gluten-free, smooth, premium, American, cocktail"
